gallery_id,name,description,image
1,"Louvre Museum","The Louvre or the Louvre Museum (French: Musée du Louvre) is one of the world's largest museums and a historic monument. A central landmark of Paris, France, it is located on the Right Bank of the Seine in the 1st arrondissement (district). Nearly 35,000 objects from prehistory to the 21st century are exhibited over an area of 60,600 square metres (652,300 square feet). The Louvre is the world's most visited museum, and received more than 9.7 million visitors in 2012.","http://4.bp.blogspot.com/-sJ0K-XtnOds/UDBgWzyHErI/AAAAAAAABW0/UfWvAZJOsTM/s1600/8.The+Louvre,+Paris.jpg"
2,"British Museum","The British Museum is a museum dedicated to human history and culture, located in the Bloomsbury area of London. Its permanent collection, numbering some 8 million works, is among the largest and most comprehensive in existence and originates from all continents, illustrating and documenting the story of human culture from its beginnings to the present.",http://www.britishmuseum.org/images/support_corporate_ext_624x351.jpg
